orbital_period,planet_radius,transit_duration,transit_depth,equilibrium_temp,insolation_flux,stellar_teff,stellar_radius,stellar_logg,disposition,survey
6.76652928,1.97,2.9004,450.7,845.0,120.48,5149.0,0.93,4.447,CONFIRMED,Kepler
4.347288783,2.36,2.1024,451.6,1174.0,449.79,5754.0,1.122,4.345,CONFIRMED,Kepler
4.601811819,2.35,2.2607,755.9,896.0,152.91,4986.0,0.833,4.496,CONFIRMED,Kepler
11.18719905,1.55,3.252,353.6,667.0,46.65,4986.0,0.833,4.496,CONFIRMED,Kepler
4.220965778,2.62,3.0854,2260.0,595.0,29.68,3837.0,0.517,4.747,CONFIRMED,Kepler
6.998099523,588.66,2.0488,20285.0,853.0,125.22,5612.0,0.829,4.566,FALSE POSITIVE,Kepler
5.95489993,2.33,2.3892,1410.7,635.0,38.52,4261.0,0.633,4.641,CONFIRMED,Kepler
12.03987488,2.18,2.7363,1250.6,502.0,15.06,4261.0,0.633,4.641,CONFIRMED,Kepler
20.83762895,1.42,2.3734,439.0,418.0,7.24,4261.0,0.633,4.641,CONFIRMED,Kepler
8.8111022,63.66,5.0683,401.1,1399.0,904.92,6200.0,2.404,3.8,FALSE POSITIVE,Kepler
23.58917143,3.16,5.073,1200.7,487.0,13.34,4919.0,0.721,4.566,CONFIRMED,Kepler
6.481633073,2.54,3.784,298.5,1145.0,406.25,5945.0,1.302,4.213,CONFIRMED,Kepler
10.37168928,3.2,3.035,1254.9,720.0,63.68,5121.0,0.888,4.457,CONFIRMED,Kepler
3.96996298,1.78,1.1757,299.2,992.0,229.37,5121.0,0.888,4.457,CONFIRMED,Kepler
4.40841331,2.66,5.012,549.4,1139.0,398.0,6007.0,0.961,4.457,CONFIRMED,Kepler
7.9426176,4.68,6.703,1590.7,878.0,140.57,5811.0,0.926,4.521,FALSE POSITIVE,Kepler
226.8904775,4.53,7.558,3136.4,236.0,0.73,5067.0,0.75,4.585,CONFIRMED,Kepler
1.956811408,21.58,2.1958,24905.0,1109.0,357.16,5209.0,0.603,4.657,FALSE POSITIVE,Kepler
2.688899233,12.04,2.11275,37492.0,929.0,175.76,4820.0,0.639,4.667,CANDIDATE,Kepler
9.439459486,4.16,2.8979,3036.1,686.0,52.32,5097.0,0.779,4.597,CONFIRMED,Kepler
11.523067458,3.13,3.8757,507.3,927.0,174.81,5644.0,1.411,4.162,CONFIRMED,Kepler
20.47748843,2.92,2.8364,1382.4,530.0,18.65,5097.0,0.779,4.597,CONFIRMED,Kepler
3.336123113,1.74,1.9616,516.3,970.0,209.79,5097.0,0.779,4.597,CONFIRMED,Kepler
8.01078456,1.72,2.312,1333.6,453.0,9.9,3713.0,0.47,4.779,CONFIRMED,Kepler
12.07134205,1.29,4.3224,759.2,395.0,5.74,3713.0,0.47,4.779,CONFIRMED,Kepler
20.99587872,1.3,2.6333,767.3,328.0,2.74,3713.0,0.47,4.779,CONFIRMED,Kepler
7.41113177,2.45,2.5242,620.5,905.0,158.11,5849.0,0.919,4.517,CONFIRMED,Kepler
